Name of file;Speaker;Topic;Start time;End time;Location
#cmu.andrew.org.cfa.cfa-today-516_1#;MERCE CUNNINGHAM;1994 Art Lecture Series;5:00 PM;;DH 2315
cmu.andrew.academic.bio-242_0;Dr Jeffrey D Hermes;"""MHC Class II: A Target for Specific Immunomodulation of the";3:30 PM;;Mellon Institute Conference Room
cmu.andrew.academic.met-e-19_1;;Career Talk 3.28.95;12:00 PM;;
cmu.andrew.academic.sds.seminars-56_0;Professor John Skvoretz;SKVORETZ Seminar;4:00;5:30;PH 223D
cmu.andrew.assocs.gso-1415_1;;UTC Summer Seminars for Graduate Students;2:00;4:00 PM;Carnegie Conference Room, Warner Hall
cmu.andrew.assocs.UEA-142_0;;Re: entreprenuership speaker;7:00 PM;;room 261 of GSIA in the new building
cmu.andrew.official.career-center-1495_0;Andrew Gault;Marketability Talk;7:00 PM;;Carnegie Conference Room, 1st Floor Warner Hall
cmu.andrew.official.cmu-news-2450_0;Professors Rob A Rutenbar;CEDA Spring Lecture Series;3:30 PM;;Adamson Wing, Baker Hall
cmu.andrew.official.cmu-news-2457_0;Joe Mertz;CIL Education Seminar;12:00 PM;1:00 PM;Student Center Room 207
cmu.andrew.official.cmu-news-2477_0;Professor Warren Baker;Chemical Engineering Seminar;10:45 AM;;Doherty
cmu.andrew.official.cmu-news-2513_0;Professor Steven Granick;ChemE,Physics Seminar;4:30 PM;;Wean Hall 7500
cmu.andrew.official.cmu-news-2516_0;Steve Granick;Physics Colloquium,Feb. 27;4:30 PM;;7500 Wean Hall
cmu.andrew.official.cmu-news-2527_0;Richard Maddox;Cultural Analysis Lecture;3:30 PM;;Baker Hall 235A
cmu.andrew.official.cmu-news-2611_0;FARRO F RADJY, PHD;ECE Seminar;4:00;5:00 PM;Scaife Hall Auditorium
cmu.andrew.official.cmu-news-2627_0;Dr Franklyn G Prendergast;"""Picosecond Motion in Proteins: Experiments, Analysis,";3:30 PM;;Mellon Institute Conference Room
cmu.andrew.official.cmu-news-2633_0;;"""Coffee Talk""";8:00 PM;;Women's Center
cmu.andrew.official.cmu-news-2674_0;Professor Sara Kiesler;Graduate Student Seminar Lunch;12:00 PM;1:30 PM;romm 207, Student Activities Center
cmu.andrew.official.cmu-news-2680_0;Gary K Fedder;CEDA Spring Lecture;3:30 PM;;Adamson Wing, Baker Hall
cmu.andrew.official.cmu-news-2737_0;Dr R J (Bob) Pangborn;Chem. Eng. Seminar;10:45 AM;;Doherty Hall 1112
cmu.andrew.official.cmu-news-2752_0;Laura Petitto;Psychology Colloquium;12:00 PM;;Baker Hall 355
cmu.andrew.official.cmu-news-2811_0;Patricia Brooks;Psychology Post-Doc Talk;12:00 PM;;Baker Hall 355
cmu.andrew.official.cmu-news-2912_1;;"""Courseware"" Presentations";10:00 AM;12:00 PM;Hamburg Hall 1000
cmu.andrew.org.ACE-NIP-9_1;Stephanie Shaw;Speaker;10:30;12:00;Seminar Room 254A
cmu.andrew.org.cfa.cfa-today-19_0;;Architecture Lectures;4:30 PM;;Breed Hall, Margaret Morrison Room 103
cmu.andrew.org.cfa.cfa-today-212_0;Woody Vasulka;Art Lecture: 10/13/92;5:00 PM;;College of
cmu.andrew.org.cfa.cfa-today-516_1;MERCE CUNNINGHAM;1994 Art Lecture Series;5:00 PM;;DH 2315
cmu.andrew.org.cfa.cfa-today-533_0;Joyce Scott;Art Department Lecture Series;5:00 PM;;2315 Doherty Hall
cmu.andrew.org.cfa.cfa-today-557_0;Steven Kurtz;Art Dept Lecture Series Continues;5:00 PM;;DH 2315
cmu.andrew.org.cfa.cfa-today-599_0;;Lecture tonight!;5:00 PM;;Doherty Hall, Room 2315
cmu.andrew.org.che.chegsa-224_0;;Fwd: Women's Speaker Series;4:30 PM;;Faculty Dining
cmu.andrew.org.che.chegsa-242_0;R A V I   K I R A N;Fwd: Lecture Demonstration by Ravi Kiran;7:30 PM;;Mellon Institute Auditorium
cmu.andrew.org.che.chegsa-58_0;;Talk;10:00 AM;;
cmu.andrew.org.che.chegsa-597_0;James Demmel;Fwd: CS/PSC Seminar 11/11;4:00 PM;;3rd Floor Conference room
cmu.andrew.org.cil-22_0;Bruce Sherwood;CIL Member to Lecture at Physics Colloquium;4:30 PM;;Wean 7500
cmu.andrew.org.cil-28_0;David Banks;Quis Metabitur Ipsos Mensores?;12:00 PM;1:30 PM;Student Center, Room 207
cmu.andrew.org.cil-2_0;George W Cobb;Three Ways to Gum up a Statistics Course;4:00;;Adamson Wing, Baker Hall
cmu.andrew.org.cil-49_0;Larisa Naples;Education Seminar Series;12:00 PM;1:20 PM;Student Center, Room 210
cmu.andrew.org.cil-5_0;Karen Schriver;Education Seminar Series;12:00 PM;1:00 PM;3005 Hamburg Hall
cmu.andrew.org.cmu-hci-174_0;Professor Manfred Paul;Integrated Network for the Teaching of Students in Informatics;1:30 PM;;Wean Hall 5409
cmu.andrew.org.cmu-hci-190_0;Joy Mountford;<speaker>Joy Mountford</speaker> Presentation;10:00;11:30 AM;basement of Hunt Library
cmu.andrew.org.cmu-hci-271_0;Maxion;HCI Reading Seminar;1:25;1430;Doherty 3313
cmu.andrew.org.cmu-hci-274_0;Alex Rudnicky;HCI & G Seminar/<speaker>Alex Rudnicky</speaker>/Wed. Oct. 21, '92;3:30;5:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-301_0;Emilie Roth;HCI & G Seminar/Wed. Jan. 13,'93-<stime>3:30</stime>-<etime>5:00pm</etime>-<location>WeH 5409</location>;3:30;5:00pm;WeH 5409
cmu.andrew.org.cmu-hci-302_0;Emily Roth;HCI & G Seminar - Change in time for <speaker>Emily Roth</speaker> Talk;3:00;4:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-303_0;Richard M Young;HCI&G Seminar-Wed. Jan. 20,'93/Richard Young Speaker;3:30;5:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-323_0;John Gould;HCI Seminar/Wed. Mar. 31, '93/<speaker>John Gould</speaker>-<location>WeH 5409</location>  <stime>3:30</stime>;3:30;5:00pm;WeH 5409
cmu.andrew.org.cmu-hci-326_0;Alex Waibel;HCI Seminar/Wed. April 7, '93/Alex Waibel;3:30;5:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-328_0;Jolene Galegher;HCI Seminar/Wed. April 14, '93-Jolene Galegher, Dept. of English;3:30;5:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-377_0;Robert Stevens;HCI Seminar/<speaker>Robert Stevens</speaker>/Friday, September 10, 1993;12:30;2:00 PM;Wean Hall 4623
cmu.andrew.org.cmu-hci-385_0;Tom Mitchell;HCI Seminar/Wed. Oct. 6, '93/<speaker>Tom Mitchell</speaker>, Computer Science;3:30;5:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-388_0;Randy Pausch;HCI Seminar/Wed. Oct. 13, '93/<speaker>Randy Pausch</speaker>, Univ. of Virginia;3:30 PM;5:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-405_0;Ralph D Hill;REMINDER:  HCI Seminar/Ralph Hill/Wed. Nov. 10, '93;3:30;5:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-411_0;Tom Neuendorffer;HCI Seminar - Wed. Dec. 1 '93 Tom Neuendorffer ITC/CS/CMU;3:30;5:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-420_0;Michael Christel;HCI Seminar;3:30;5:00;WeH 5409
cmu.andrew.org.cmu-hci-429_0;Robert E Kraut;Feb 23 HCI Seminar;3:30 PM;5:00 PM;Wean 5409
cmu.andrew.org.cmu-hci-442_0;Chip Walter;April 6 HCI Seminar;3:30;5:00 PM;WeH 5409
cmu.andrew.org.cmu-hci-457_0;Grady Booch;<speaker>Grady Booch</speaker> talk TODAY!;11:00 AM;12:30 PM;Wean Hall 4623
cmu.andrew.org.cmu-hci-499_0;Michael A Cusumano;PS Seminar;3:30;5:00 PM;WEH 5409
cmu.andrew.org.cmu-hci-518_0;Dan Suthers;HCII SEMINAR;3:30;;Wean Hall 5409
cmu.andrew.org.cmu-hci-519_0;Maria Klawe;Electronic Games and Interactive Multi-Media:;3:30;;Wean 4623
cmu.andrew.org.cmu-hci-534_0;Jef Raskin;HCI Seminar, <speaker>Jef Raskin</speaker>, Wed, 4-12;3:30;5:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-536_0;Jef Raskin;HCI SEMINAR, <speaker>Jef Raskin</speaker>, Part I and Part II;3:30;5:00 PM;Wean Hall 5409
cmu.andrew.org.cmu-hci-7_0;Dan R Olsen Jr;PS Seminar 11/30/87;3:30;5:00;Wean 5409
cmu.andrew.org.cmu-hci-87_0;Jakob Nielsen;Discount Usability Engineering;1:30;;SEI 3505
cmu.andrew.org.cmu-hci-8_0;Dan R Olsen Jr;UI talk  **TODAY**;5:00 PM;;Wean 5409
cmu.andrew.org.english-1_0;Dave Kaufer;Colloquium Tomorrow;12:00 PM;1:00 PM;Swank Room, Baker Hall 255B
cmu.andrew.org.epp-21_0;Dr Sorin Cohn;Special INI Seminar;3:30 PM;;Hamburg Hall room 2224
cmu.andrew.org.epp-303_0;MR DAVID A LENNERT;green design seminar;6:00 PM;;ADAMSON WING, BAKER HALL 136
cmu.andrew.org.epp-317_0;DR SPYROS PANDIS;10/29 EES seminar;3:30 PM;;Porter Hall A18C
cmu.andrew.org.epp-322_0;Keith Florig;EPP Seminar Series;4:30 PM;;EPP conference room, located in BH 129
cmu.andrew.org.epp-344_0;Rayman;<speaker>Rayman</speaker> talk: Competition vs. Community  11/10/93 <stime>4:30</stime> <location>Benedum Hall</location>;4:30;;Benedum Hall
cmu.andrew.org.epp-375_0;Michael Gregory;Fwd: Lecture;12:30;2:00 PM;Hamburg Hall Auditorium
cmu.andrew.org.epp-382_0;Jonathan Caulkins;Fwd: SEMINAR REMINDER;3:30 PM;;Baker Hall - 355
cmu.andrew.org.epp-397_0;Dr Jack Adams;EPP Seminar;4:30 PM;;EPP conference room, located in BH-129
cmu.andrew.org.epp-42_0;Roger Dannenberg;Seminar Announcement;1:00;2:30 PM;Hamburg Hall 1000
cmu.andrew.org.epp-464_0;DAVID DZOMBAK;3/4 EES seminar;3:30 PM;;Porter Hall A18C
cmu.andrew.org.epp-475_0;Dr Randall Curlee;Seminar: Auto Recycling;1:30 PM;;HBH 1202
cmu.andrew.org.epp-486_0;E Sudicky Darcy;<speaker>E. Sudicky Darcy</speaker> Lecture;5:30 PM;;Doherty Hall 1112
cmu.andrew.org.epp-523_0;J Morgan;reminder:  <speaker>J. Morgan</speaker>'s talk;2:00 PM;;1175 Benedum Hall
cmu.andrew.org.epp-533_0;MR MICHAEL LUTZ;4/22 EES seminar;3:30 PM;;Porter Hall A18C
cmu.andrew.org.epp-55_0;Shyam Sunder;INI SEMINAR SERIES;11:00;12:30 PM;Hamburg Hall 1001
cmu.andrew.org.epp-571_0;Mr Dan Walker;5/13 EES seminar;3:30 PM;;Porter Hall A18C
cmu.andrew.org.epp-58_0;ANDREW C BARRETT;INI SPECIAL SEMINAR;5:00 PM;;Scaife Auditorium (Room 125
cmu.andrew.org.epp-592_0;Joe Cascio;Fwd: Special Seminar;12:30;1:30;Hamburg Hall Auditorium
cmu.andrew.org.epp-63_0;Dan Siewiorek;CORRECTION - INI SEMINAR SERIES;11:00;12:30 PM;Hamburg Hall 1002
cmu.andrew.org.epp-66_0;Dr James C Wetherbe;DISTINGUISHED LECTURE of ATI;1:00 PM;;Skibo Ballroom
cmu.andrew.org.epp-703_10;Dr John Bares;CEE EES Seminar Series;2:30;;HH B131
cmu.andrew.org.epp-703_12;Mr Subhasis Ghoshal;CEE EES Seminar Series;3:30;;PH A18C
cmu.andrew.org.epp-703_13;Mr Arpad Horvath;CEE EES Seminar Series;3:30;;PH A18C
cmu.andrew.org.epp-703_6;Dr Davis L Ford;CEE EES Seminar Series;3:00;;Benedum 1175
cmu.andrew.org.epp-703_9;Mr Rajat Ghosh;CEE EES Seminar Series;2:30;;PH A18C
cmu.andrew.org.epp-709_0;DR WILLIAM FISH;10/7 EES Seminar;3:30 PM;;Porter Hall A18C
cmu.andrew.org.epp-737_0;Carla Gary;Fwd: Talk: University of 21st Century;12:00 PM;;Pitt in the Babcock
cmu.andrew.org.epp-799_0;DR STEPHEN KENNEDY;12/9 EES seminar;3:30 PM;;Porter Hall A18C
cmu.andrew.org.epp-825_0;DR PAUL FISCHBECK;1/27 CEE Dept Seminar;3:30 PM;;Porter Hall 125C
cmu.andrew.org.epp-82_0;Robert Thibadeau;INI SEMINAR SERIES;11:00;12:30 PM;Wean Hall 4623
cmu.andrew.org.epp-850_9;Dr Alexander Zehnder;EES Spring Seminars II;4:00;;PH 100
cmu.andrew.org.epp-897_0;John Graham;Distinguished Lecture Series;4:30;;Adamson Wing, Baker Hall
cmu.andrew.org.epp-926_0;Avi Seidmann;EDI Seminar - <speaker>Avi Seidmann</speaker>, May 10th;10:30;12:00;GSIA 259
cmu.andrew.org.epp-961_0;Christian Bischof;On the Automated Differentiation of Computer Programs;10:30;12:00;Porter Hall 07-A
cmu.andrew.org.heinz-1731_0;Arjun Makhijani, PhD;Lecture:  RADIOACTIVE HEAVEN AND EARTH;7:30 PM;;Breed Hall, Margaret Morrison Building
cmu.andrew.org.heinz-2478_4;Bennett Harrison;Graduate Student Seminar Series;12:00;1:30;
cmu.andrew.org.heinz-2653_1;;EPP Seminar;4:00 PM;;EPP Conference Room
cmu.andrew.org.heinz-2833_0;URMILA M DIWEKAR;EPP Grad Seminar;4:30 PM;;129 Baker hall
cmu.andrew.org.heinz-2910_0;Bill Wescott;Environmental Talk in 2 hrs;4:30 PM;;Engineering and Public Policy
cmu.andrew.org.heinz-3047_0;Mary Jane Jacob;<speaker>Mary Jane Jacob</speaker> Lecture;5:00 PM;;Doherty Hall, Room
cmu.andrew.org.heinz-3287_0;;Seminar on Monday;12:30 PM;2:00 PM;Hamburg Hall 1001
cmu.andrew.org.heinz-3528_0;Jim Boshears;Fwd: tax seminars;7:00 PM;;Room 2315 Doherty Hall
cmu.andrew.org.heinz-3541_0;ANDREW C BARRETT;INI SPECIAL SEMINAR;5:00 PM;;Scaife Auditorium (Room 125
cmu.andrew.org.heinz-3573_0;Erik Devereux;Soup & Substance Lecture;12:00 PM;1:00 PM;Wherrett Room, Skibo
cmu.andrew.org.heinz-4189_1;Jim Peters;Final Presentations on Systems Synthesis Projects;3:30 PM;;HbH 1003
cmu.andrew.org.heinz-4189_3;Dan Martin;Final Presentations on Systems Synthesis Projects;9:30 AM;;Museum of Art Theater, Carnegie
cmu.andrew.org.heinz-4189_6;Gordon Lewis;Final Presentations on Systems Synthesis Projects;3:30;5:00 PM;HbH 1004
cmu.andrew.org.heinz-4301_0;Brian McCall;"""Unemployment Insurance Rules, Joblessness and";3:30 PM;;University of Pittsburgh
cmu.andrew.org.heinz-4776_3;Louise Fitzgerald;Grad. Student Seminar Series;4:30;;Scaife Hall Auditorium
cmu.andrew.org.heinz-5109_0;Mike Davis;Fwd: <speaker>Mike Davis</speaker> Lectures;4:30 PM;;Skibo Ballroom
cmu.andrew.org.heinz-5123_0;;Systems Presentation;3:30 PM;;Hamburg Hall Room 1004
cmu.andrew.org.heinz-5257_0;Cindy Bryce;Brownbag talk on healthcare policy;12:30;;room 1001
cmu.andrew.org.heinz-5669_0;Dr Noellette Conway-Schempf;REMINDER: Green Design Seminar;12:30;1:50;Hamburg 1001
cmu.andrew.org.heinz-5966_0;Professor Ann Orloff;"Fwd: Seminar:""Politics of Pensions""";3:30 PM;;Baker Hall 237B
cmu.andrew.org.heinz-5968_0;Rob Rutenbar;Fwd: Graduate Student Seminar;12:00 PM;;Skibo
cmu.andrew.org.heinz-6208_1;Pat Laughlin;2 talks on Gender and Academia;4:00;;The Babcock Room, 40th floor, of
cmu.andrew.org.heinz-6248_0;Rosemary Chalk;""" Technology and Urban Violence: Community Control and Community Empowerment""";7:00 PM;;WEH
cmu.andrew.org.heinz-6342_0;;open Systems presentation;5:30 PM;;Room 2224 of EDRC
cmu.andrew.org.heinz-6564_2;;Fwd: UTC Summer Seminars for Graduate Students;2:00;3:30 PM;Warner Hall 415
cmu.andrew.org.heinz-7412_0;Carla Gary;Second talk: University of 21st Century;12:00 PM;;Babcock
cmu.andrew.org.heinz-8012_0;;WQEX Systems Presentation;8:30 AM;;1001 Hamburg
cmu.andrew.org.heinz-8113_0;Al Roth;Pitt-CMU Rationality Seminar;5:00 PM;;CMU, Adamson Wing (Baker Hall
cmu.andrew.org.heinz-8148_0;DR PAUL PORTNEY;2/16 Dist Lecture;5:00 PM;;ADAMSON WING AUDITORIUM, BAKER HALL
cmu.andrew.org.heinz-8548_0;Dr Janice Perlman;REMINDER:  Seminar 4/10 <stime>12:30pm</stime>;12:30pm;2:00;Hamburg 1001
cmu.andrew.org.heinz-8653_0;;ArtsNet final presentation;12:30 PM;;Room 1001, Hamburg Hall
cmu.andrew.org.heinz-8736_0;;Health Systems Presentation;10:00 AM;;Hamburg Hall, Room 1004
cmu.andrew.org.heinz.defense-275_0;;Re: presentation on 21 March;3:30;5:00;room 2110 in Hamburg Hall
cmu.andrew.org.heinz.defense-293_0;;Mock Presentation;3:30;;2110
cmu.andrew.org.heinz.defense-32_0;;presentation time & place;2:00 PM;4:00 PM;1003
cmu.andrew.org.heinz.defense-43_0;;Changed Presentation Date & Time;5:30;7:30;Hamburg Hall, H John Heinz III School of Public Policy and Management
cmu.andrew.org.heinz.derivatives-45_1;Mr Okada;Mock Presentation and Meeting with <speaker>Mr. Okada</speaker>;1:30 PM;;room 2110
cmu.andrew.org.heinz.dss-91_0;Thomas W Malone;Tools for Inventing Organizations: Toward a Handbook of;3:30 PM;;5409 Wean Hall
cmu.andrew.org.heinz.great-lake-155_0;;Re: PresentationCC:;12:30;;2110
cmu.andrew.org.heinz.mam-1334_0;;Fwd: CREATIVE CAREERS SEMINAR;9:00 AM;1:00 PM;ROBERT MORRIS--MOON CAMPUS
cmu.andrew.org.heinz.mam-1421_0;;March 18th Speakers;12:30;200PM;1004HBH
cmu.andrew.org.heinz.mam-233_0;Steve Appold;Arts Management Seminars;12:30;;HBH 1004
cmu.andrew.org.heinz.mam-563_0;Hirokazu Fukawa;<speaker>Hirokazu Fukawa</speaker> Lecture;5:00 PM;;Doherty Hall 2210
cmu.andrew.org.heinz.mam-694_0;Mary Jane Jacob;<speaker>Mary Jane Jacob</speaker> Lecture;5:00 PM;;Doherty Hall, Room
cmu.andrew.org.heinz.mpm-384_0;Marc Irwin, PhD;Upcoming seminar on medical management;2:00;3:30;
cmu.andrew.org.heinz.mpm-61_0;Kathy Bernard;Career Enhancement Seminar;9:00 AM;12:00 PM;ROOM 1004
cmu.andrew.org.heinz.mpm-65_0;;HR Management Colloquium;7:00 PM;;La Roche College, 9000 Babcock Blvd
cmu.andrew.org.heinz.mpm-84_0;Bill Hancock;DECUS Presentation;6:30 PM;;Doherty Hall, Rm DH2315
cmu.andrew.org.heinz.muni-61_0;Stefani Ledewitz;Fwd: SEMINAR: Rebuilding Cities;12:30 PM;;room 1001
cmu.andrew.org.heinz.opinions-4845_0;Carla Gary;Fwd: Second talk: University of 21st Century;12:00 PM;;Pitt in the Babcock
cmu.andrew.org.heinz.phd-132_0;;Women's Speaker Series: Thriving in the Academy;4:30 PM;;Faculty Dining Room in Skibo
cmu.andrew.org.heinz.phd-523_0;Professor Teddy Seidenfeld;OIC - CFP:  Seminar Series on Rational Choice - Duke University;4:00;6:00;116 Old Chem
cmu.andrew.org.heinz.phd-545_0;Sumit Dutta Chowdhury;Ph.D. Presentations;12:30;2:00 PM;Room 1004 HbH
cmu.andrew.org.heinz.phd-545_1;George Tita;Ph.D. Presentations;3:30;5:00 PM;Room 1004 HbH
cmu.andrew.org.heinz.phd-545_2;Terra McKinnish;Ph.D. Presentations;12:30;2:00 PM;Room 2110 HbH
cmu.andrew.org.heinz.phd-573_1;Cindy Bryce;Ph.D. Presentations;12:30;2:00 PM;Room 1004 HbH
cmu.andrew.org.heinz.sustain-216_0;;Jury presentations by architectural students;1:30;3:30;second floor of teh College of Fine Arts
cmu.andrew.org.hss.eng-8_0;Charles Paine;Public Lecture;4:30;;
cmu.andrew.org.ini.ati-466_0;Nobuhisa Yoda;AN ARCHITECTURAL DESIGN OF A TOOLKIT FOR SYNCHRONOUS;2:00;4:00;HbH 2222
cmu.andrew.org.ini.ms-2430_0;;Fwd: Graduate Student Seminar;12:00 PM;;room
